gvkey,company_name,fic,gsector,market_cap_usd,in_portfolio,base_ic,base_nd_eb,base_fcf,base_div_cov,base_runway,base_z,stress_ic,stress_nd_eb,stress_fcf,stress_div_cov,stress_runway,stress_z,severe_ic,severe_nd_eb,severe_fcf,severe_div_cov,severe_runway,severe_z,rate_base,rate_stress,rate_severe,overall,_ov_rk
015508,ANGLO AMERICAN PLC,GB,15,45708350553.6,False,3.4061685007214435,1.3611053535747069,1261.8986288148808,5.108901331234335,inf,4.076256153483584,0.895838945308724,2.4305452742405484,-1018.59569048489,-4.123869192246518,5.086932618689147,3.7254225006950743,-0.07482891688146807,4.18801647253756,-1748.4289275135518,-14.157319251121876,3.4392331382748997,3.5380454361375753,pass,fail,fail,fail,5
017420,ATLAS COPCO AB (PUBL),SE,20,19464320577.84057,False,42.13440262145266,0.4381845165523468,29622.71803775255,2.027319909154874,inf,5.011895872789137,10.479128489500342,0.7824723509863336,16491.697101141428,1.128658951089025,inf,4.379421064723919,2.6319162971487917,1.3482600509302978,10883.30961226958,1.4896641305049336,inf,4.041622019507269,pass,pass,marginal,stress_resilient,2
025648,ROCHE HOLDING AG,CH,35,273258951914.19998,True,16.73972435267386,0.7557602378247928,13650.289604967904,inf,inf,4.1707159596047,5.207091760251871,1.3495718532585588,6093.087178782027,inf,inf,3.4878813177506798,1.659170760885359,2.325416116383978,3082.1128716145686,inf,inf,3.1231855431241002,pass,pass,marginal,stress_resilient,2
028844,COCA-COLA FEMSA SAB DE CV,MX,30,2867930151.4164,False,4.663069958929466,1.0626315899773435,14928.906352359576,inf,inf,3.1399878519048072,1.55887565808246,1.8975564106738279,-736.8474426786429,inf,38.76650490386229,2.6468208423971076,0.27559626277413196,3.269635661468749,-4675.729747310847,inf,6.109206807007738,2.383424825955495,pass,marginal,fail,marginal,3
100013,SOCIETE BIC SA,FR,20,2352140679.0959997,False,17.269959407329655,-0.37654116262187265,235.1908291950312,inf,inf,6.891108756037014,4.785265162653161,-0.672394933253344,118.55417934921743,inf,inf,6.435877333866339,0.5232077785245569,-1.158588192682685,79.94930931784685,inf,inf,6.192742369752455,pass,pass,fail,severe_vulnerable,4
100023,HONG LEONG INDUSTRIES BHD,MY,20,1237574182.282,False,659.0386265060977,-3.044333588058355,310.9389495000504,1.2216728397489005,inf,10.52921366158993,104.71950888506197,-5.4363099786756335,138.3046367200282,0.5433961186395837,17.35414576201161,9.957885877964895,33.662949153790066,-9.367180270948785,102.32427733751638,0.8040600296049912,80.88161181870595,9.652744902619704,pass,marginal,marginal,marginal,3
100057,IMI PLC,GB,20,8818158549.8046,False,14.26435771826695,1.0410915120807094,304.44633891247605,3.615752243616105,inf,4.103996638954342,4.328108875253788,1.8590919858584098,150.21444979098655,1.7840195937171799,inf,3.4984392636353854,1.076674098612259,3.203358498709875,92.9765601465547,2.208469362150943,inf,3.175016574544579,pass,pass,fail,severe_vulnerable,4
100095,BUNZL PLC,GB,20,9173756910.412401,False,4.1072843527206615,2.081980509349133,761.3589514972138,3.2016776766072907,inf,3.028977800986819,0.9744813512227842,3.7178223381234523,461.5620171179194,1.940967271311688,inf,2.6387670534094623,-0.1265200889299093,6.406093874920408,243.32404564879255,2.046459593345606,inf,2.4303590404988284,pass,fail,fail,fail,5
100149,NEXT PLC,GB,25,19756467872.4945,True,12.993702981308463,1.073675836677204,1070.940947337387,inf,inf,6.186818691240994,4.207665966969441,1.917278279780721,586.4774305089367,inf,inf,5.227353285104458,1.0992230942242573,3.303617959006781,370.6100578846508,inf,inf,4.714911534099717,pass,pass,fail,severe_vulnerable,4
100241,HEINEKEN MALAYSIA BHD,MY,30,1506127704.88,False,53.06805618523184,0.22171724948842653,408.976084098921,inf,inf,3.9889363070303583,19.670018579403525,0.39592365980076166,220.0335170953958,inf,inf,2.556358805303874,6.859954730479388,0.6822069215028509,152.46803233214933,inf,inf,1.7912321850635928,pass,pass,pass,highly_resilient,1
